source,year,emissions
Manure applied to Soils,2002,16627.89
Manure applied to Soils,2003,16485.56
Manure applied to Soils,2004,16416.38
Manure applied to Soils,2005,16474.34
Manure applied to Soils,2006,16657.42
Manure applied to Soils,2007,16833.02
Manure applied to Soils,2008,17108.34
Manure applied to Soils,2009,16435.59
Manure applied to Soils,2010,16429.56
Manure applied to Soils,2011,16450.71
Manure applied to Soils,2012,16456.3
Enteric Fermentation,1961,144412.52
Enteric Fermentation,1962,146582.94
Enteric Fermentation,1963,149863.73
Enteric Fermentation,1964,152283.36
Enteric Fermentation,1965,152320.29
Enteric Fermentation,1966,150605.4
Enteric Fermentation,1967,149626.91
Enteric Fermentation,1968,149223.99
Enteric Fermentation,1969,149100.06
Enteric Fermentation,1970,151039.11
Enteric Fermentation,1971,153561.57
Enteric Fermentation,1972,156626.7
Enteric Fermentation,1973,160007.63
Enteric Fermentation,1974,166497.55
Enteric Fermentation,1975,170582.13
Enteric Fermentation,1976,165537.93
Enteric Fermentation,1977,159743.36
Enteric Fermentation,1978,152432.19
Enteric Fermentation,1979,146308.73
Enteric Fermentation,1980,147126.5
Enteric Fermentation,1981,150699.58
Enteric Fermentation,1982,151931.6
Enteric Fermentation,1983,151251.06
Enteric Fermentation,1984,148987.27
Enteric Fermentation,1985,144884.18
Enteric Fermentation,1986,139749.29
Enteric Fermentation,1987,135377.66
Enteric Fermentation,1988,132653.01
Enteric Fermentation,1989,129191.56
Enteric Fermentation,1990,128117.24
Enteric Fermentation,1991,128489.45
Enteric Fermentation,1992,129630.6
Enteric Fermentation,1993,131181.83
Enteric Fermentation,1994,132971.08
Enteric Fermentation,1995,134850.74
Enteric Fermentation,1996,135428.28
Enteric Fermentation,1997,132975.28
Enteric Fermentation,1998,130823.38
Enteric Fermentation,1999,130114.61
Enteric Fermentation,2000,129089.79
Enteric Fermentation,2001,128006.19
Enteric Fermentation,2002,127594.17
Enteric Fermentation,2003,127132.94
Enteric Fermentation,2004,126036.64
Enteric Fermentation,2005,127192.94
Enteric Fermentation,2006,128862.25
Enteric Fermentation,2007,128788.02
Enteric Fermentation,2008,128460.75
Enteric Fermentation,2009,126735.73
Enteric Fermentation,2010,125959.28
Enteric Fermentation,2011,124815.57
Enteric Fermentation,2012,122746.57
